#blocks mean unc
1 -0.435281 0
2 -0.439149 0.00273502
3 -0.440834 0.0022839
4 -0.442256 0.00210993
5 -0.442584 0.00171317
6 -0.442998 0.00147691
7 -0.443877 0.00150494
8 -0.443484 0.0013673
9 -0.44347 0.00121545
10 -0.443875 0.00115932
11 -0.443803 0.00105619
12 -0.443986 0.000983905
13 -0.443916 0.000910711
14 -0.444246 0.000903509
15 -0.443976 0.000882608
16 -0.443879 0.000832788
17 -0.444119 0.000817777
18 -0.444216 0.000778087
19 -0.444149 0.00074006
20 -0.444095 0.000704999
21 -0.443987 0.000679608
22 -0.443886 0.000656274
23 -0.44389 0.000627752
24 -0.443675 0.000637375
25 -0.44357 0.00062044
26 -0.443472 0.000604269
27 -0.443627 0.000601622
28 -0.443748 0.000592082
29 -0.443936 0.000600796
30 -0.444042 0.000590089
31 -0.443866 0.000596765
32 -0.443911 0.000579822
33 -0.443932 0.000562631
34 -0.443914 0.00054637
35 -0.444 0.000537491
36 -0.444064 0.000526337
37 -0.444038 0.000512762
38 -0.444095 0.000502404
39 -0.444069 0.000490163
40 -0.444098 0.000478746
41 -0.443959 0.00048676
42 -0.444044 0.000482409
43 -0.444053 0.00047128
44 -0.44406 0.000460621
45 -0.444119 0.000454185
46 -0.444152 0.000445528
47 -0.444119 0.000437306
48 -0.444187 0.000433433
49 -0.44419 0.000424596
50 -0.444117 0.000422245
51 -0.444179 0.000418523
52 -0.44415 0.000411532
53 -0.444155 0.00040381
54 -0.444163 0.000396399
55 -0.444039 0.000408157
56 -0.444019 0.000401347
57 -0.443959 0.0003987
58 -0.444017 0.00039599
59 -0.444067 0.00039244
60 -0.444039 0.000386883
61 -0.444011 0.000381554
62 -0.443944 0.00038138
63 -0.443878 0.000380865
64 -0.44382 0.000379369
65 -0.443884 0.00037888
66 -0.443901 0.000373507
67 -0.443972 0.000374679
68 -0.44402 0.0003722
69 -0.444061 0.000369055
70 -0.444035 0.000364704
71 -0.444027 0.000359642
72 -0.444028 0.00035465
73 -0.444038 0.000349919
74 -0.44408 0.000347677
75 -0.444011 0.000349834
76 -0.444026 0.000345574
77 -0.444031 0.000341124
78 -0.444059 0.000337892
79 -0.444048 0.000333806
80 -0.444076 0.000330838
81 -0.444075 0.000326754
82 -0.444023 0.000326964
83 -0.444074 0.000327052
84 -0.444116 0.000325857
85 -0.444024 0.000334763
86 -0.444062 0.000332936
87 -0.444001 0.000334558
88 -0.443932 0.000337794
89 -0.443917 0.000334349
90 -0.443918 0.000330635
91 -0.443889 0.000328249
92 -0.443885 0.000324706
93 -0.4439 0.000321577
94 -0.443882 0.000318654
95 -0.443888 0.000315354
96 -0.443876 0.000312309
97 -0.443848 0.000310353
98 -0.443848 0.000307187
99 -0.443826 0.000304898
100 -0.443834 0.000301949
