x y
-0.998255 0.0590446 
-0.981556 0.191173 
-0.837461 -0.546497 
-0.856101 -0.516809 
-0.839551 -0.543281 
-0.836462 -0.548025 
-0.440355 -0.897824 
-0.505748 -0.862681 
-0.169228 -0.985577 
0.0939439 -0.995577 
0.542514 -0.840047 
-0.0581148 -0.99831 
0.629524 -0.776981 
0.81789 -0.575375 
0.882191 -0.470892 
0.94577 -0.324837 
0.961737 -0.273974 
0.976358 -0.216162 
0.999978 0.00667073 
0.93445 0.356093 
0.590958 0.806702 
0.274472 0.961595 
0.423393 0.905946 
0.633978 0.773351 
0.705995 0.708217 
0.718517 0.69551 
0.514374 0.857566 
0.475653 0.879633 
0.427676 0.903932 
0.122564 0.992461 
-0.123371 0.992361 
-0.214182 0.976794 
-0.674051 0.738685 
-0.93914 0.343534 
-0.998255 0.0590446 
