x y
-0.0188054 0.930646 
-0.20063 0.84259 
-0.208581 0.949161 
-0.539112 0.894691 
-0.671976 0.843932 
-0.866624 0.944073 
-0.605665 0.710297 
-0.77787 0.591236 
-0.70125 0.18462 
-0.755179 0.184039 
-0.959666 -0.275717 
-0.7495 -0.997877 
-0.588503 -0.884108 
-0.111624 -0.640668 
0.354852 -0.46063 
0.445873 -0.639161 
0.529947 -0.718579 
0.468208 -0.912386 
0.669003 -0.708185 
0.682527 -0.657788 
0.425716 -0.352766 
0.331217 -0.264553 
0.616956 0.0957431 
0.911662 0.17288 
0.288991 0.229038 
-0.165073 0.183246 
-0.461034 -0.0222453 
-0.530499 0.0759492 
-0.431292 0.182818 
-0.0612292 0.481491 
0.147856 0.762122 
0.626085 0.73683 
0.71675 0.804856 
0.613845 0.852236 
-0.0188054 0.930646 
