x y
-0.509403 -0.129894 
-0.390667 -0.0300757 
-0.154378 -0.283705 
-0.245385 0.16954 
0.0978254 -0.0679825 
0.694932 -0.864785 
0.0940247 -0.680268 
-0.195658 -0.410261 
-0.351042 -0.586348 
-0.543286 -0.534279 
-0.882651 -0.629965 
-0.717319 -0.887409 
-0.233023 -0.710626 
0.326309 -0.279565 
0.591854 -0.100333 
0.446535 0.376563 
0.708857 0.856559 
0.482848 0.868695 
0.669326 0.938069 
0.709078 0.528732 
0.138561 0.789351 
0.0257731 0.977118 
-0.504887 0.571919 
-0.572264 0.521046 
-0.632954 0.468912 
-0.286398 0.34707 
-0.601443 0.701273 
-0.762647 0.835304 
-0.636748 0.78607 
-0.469671 -0.123483 
0.2243 -0.577544 
-0.177488 -0.233552 
-0.276589 -0.269502 
-0.545859 0.445959 
-0.509403 -0.129894 
