x y
13.5747 37.3123 
15.2907 37.0646 
18.2261 40.1522 
16.4736 40.4476 
17.6884 40.6359 
12.2063 45.8067 
15.8216 40.5173 
12.4829 41.8933 
17.0806 40.5488 
12.0789 46.2805 
16.862 41.1258 
10.5941 44.6087 
7.55814 44.4581 
11.2556 43.7698 
10.3403 42.7902 
13.6103 42.1369 
12.6597 45.9563 
8.75413 45.8397 
9.66781 39.9705 
16.1466 41.1802 
15.5542 38.1938 
16.8783 39.1874 
15.6398 38.1035 
14.1169 41.2035 
12.0141 44.0227 
10.6708 45.1693 
11.8734 45.4077 
14.8262 41.7173 
13.0126 41.4595 
13.3524 38.1112 
8.67964 40.0266 
10.4544 44.0178 
12.403 43.107 
10.936 44.5385 
9.18963 45.4642 
8.3836 46.1156 
12.631 43.9465 
8.76505 39.4937 
12.2742 44.9772 
13.6252 45.9441 
11.0941 43.9357 
8.20269 44.826 
8.74503 44.835 
9.50674 40.9253 
14.4159 42.1027 
12.059 44.3641 
13.9576 42.3103 
13.1509 43.153 
11.4064 45.6349 
11.9488 42.493 
11.2878 42.7751 
15.4529 41.5028 
14.2081 41.6495 
13.6388 43.0922 
13.5758 41.6285 
10.3281 44.8014 
11.7639 43.5171 
15.0874 37.5024 
16.0987 38.6267 
11.4676 43.1672 
11.3426 44.4938 
9.69123 44.2384 
12.3346 45.4372 
13.5396 42.8834 
10.4019 43.7159 
9.41202 45.9005 
8.546 45.5843 
10.8687 43.9741 
12.7014 43.6941 
16.3331 39.5967 
8.92197 40.7778 
12.516 38.0174 
14.2807 37.5668 
10.0526 44.2131 
11.1258 46.0664 
10.4259 45.7796 
10.2584 46.3234 
8.08691 45.567 
9.49168 45.2613 
9.14941 45.9395 
13.7773 45.6496 
9.11331 39.2172 
14.0632 37.4899 
9.34238 40.1277 
7.86674 43.9584 
9.27883 45.6395 
8.34628 45.5554 
11.8279 44.7668 
8.25257 44.2334 
11.2302 46.6559 
9.13783 45.0369 
9.66653 44.8476 
8.54034 39.3075 
13.2358 46.0635 
10.9924 45.4385 
9.75422 45.7567 
13.6979 42.6581 
10.037 45.2209 
8.93386 44.4073 
7.68249 45.0678 
13.2188 43.4801 
14.2488 40.8359 
15.1406 40.9965 
7.31966 45.7371 
12.4397 42.6539 
15.3106 40.4194 
14.7057 41.2476 
12.8859 42.4147 
14.7213 36.922 
16.4316 38.83 
13.5747 37.3123 
